Expected Annual Return,Annualized Volatility,Sharpe Ratio,ZGC,GDS,HTKJ
0.42742784098323083,0.4477177010617415,0.954681577184922,0.0848962344419666,0.4895620869784405,0.425541678579593
0.40167843314617957,0.42201135370694665,0.9518190200757332,0.2743745994370875,0.37749484100830094,0.3481305595546116
0.44323772842218506,0.4542806530257517,0.9756914045755308,0.11527548184987252,0.5514827472570027,0.33324177089312473
0.4195601167068879,0.43392728791445234,0.9668903717103938,0.3994193437658429,0.4432727263818064,0.1573079298523507
0.38028841948794656,0.42303648955697837,0.8989494496945184,0.14384088565170627,0.2979175129550154,0.5582416013932783
0.4373712507319476,0.45344441911363975,0.9645531674794657,0.4852678346907226,0.5106079789621598,0.004124186347117637
0.40001910340538976,0.4256470716801365,0.939790568337316,0.4440253393416132,0.36288211681727395,0.19309254384111282
0.39050469540252497,0.42038361435234456,0.9289246347152423,0.2091911420603665,0.3357840907387965,0.455024767200837
0.4116518324949079,0.4326256001131151,0.9515198184926564,0.15824713593720607,0.4229076245153407,0.41884523954745323
0.4252618657528448,0.43543429466850037,0.9766384296317314,0.2398134210468617,0.47361100159005215,0.28657557736308614
0.45084668477971857,0.452868138912808,0.9955363295418788,0.28503645079744977,0.5740008637549798,0.14096268544757026
0.4226884798178185,0.4360952973344101,0.9692571380646857,0.40214100773605005,0.4556796330768721,0.14217935918707778
0.36229635784111325,0.41073145486637064,0.8820759977075154,0.42134705227567465,0.2127998624905451,0.36585308523378013
0.41630141547503074,0.4404377240537024,0.9451992704972548,0.5029633578972555,0.42535500640519514,0.07168163569754936
0.4172556712975548,0.44954982629446166,0.9281633467348873,0.03114431028738461,0.45132775675503306,0.5175279329575823
0.33806487453890444,0.4083920544886306,0.8277949358300162,0.4271318322326862,0.11543799336842231,0.45743017439889155
0.3458344407539002,0.4124051527987309,0.8385793397753211,0.48869628724589204,0.1436788573369964,0.3676248554171115
0.3821332710155569,0.4168547013972047,0.9167061562091797,0.42964804539129137,0.29189239284570856,0.27845956176299996
0.3942645316129656,0.425850235642514,0.9258290793666168,0.48085145449880357,0.33809601457153104,0.18105253092966547
0.39818860300211956,0.42540533111821105,0.9360216571697628,0.17705922536369065,0.36808025751215045,0.4548605171241588
0.39304703728471746,0.4190396588199463,0.9379709748513388,0.384187473716552,0.3377556093529086,0.27805691693053947
0.3988873809334638,0.42049121898854575,0.9486223800177135,0.2899379780506783,0.36558108600084194,0.3444809359484798
0.41468651952316116,0.4318919867456079,0.9601625689976483,0.18901839168079748,0.4336224206633575,0.37735918765584486
0.3881353693542746,0.41806689783154344,0.9284049308076778,0.4092357155327158,0.31689974534200005,0.2738645391252842
0.4320667255944237,0.4460221968689507,0.9687112628642843,0.12892331160353598,0.5060822690948663,0.3649944193015978
0.37671284828601326,0.4130119614366295,0.9121112303276819,0.3848351630638461,0.2722776458716602,0.3428871910644938
0.39958396771158095,0.4206433108935393,0.9499353903020028,0.3197317645972304,0.36697350745656193,0.3132947279462076
0.3929201062756686,0.4178398586891452,0.9403605187603324,0.33477193732449145,0.33956680613647683,0.3256612565390317
0.40867028144756035,0.4294750814608609,0.9515576085519725,0.1815525130615005,0.4098671385899403,0.4085803483485591
0.35872202856521707,0.4212730124386376,0.8515191288629446,0.556592655073631,0.1921292777823971,0.25127806714397183
0.41396554572990685,0.42856514036770005,0.9659337793426991,0.25436494562436046,0.4276659811690077,0.31796907320663187
0.3283731472137273,0.4093988017649375,0.8020862440195116,0.44458057449596045,0.07578622031270568,0.4796332051913339
0.3885456962022641,0.416987842023909,0.9317914266190666,0.37896907584000944,0.3199646848799615,0.3010662392800291
0.3765082532115202,0.4221380971429759,0.8919077803205212,0.5182215580663577,0.26519613574560175,0.21658230618804042
0.3893751941376251,0.41638219639115176,0.9351389120678059,0.32549603856425813,0.3257985622006008,0.34870539923514104
0.3760628322977748,0.4178457156685044,0.9000040402379575,0.4741399252418752,0.26548081564077736,0.2603792591173475
0.3840409605299461,0.4150594423121745,0.9252673746935293,0.3712610599036269,0.30227703260340466,0.32646190749296855
0.4186134902059677,0.43299942180674844,0.9667760951255928,0.3932183792186481,0.4397708994397104,0.16701072134164144
0.3308340620747371,0.4074860634017093,0.8118904958685499,0.3584336811653101,0.08969068596814898,0.551875632866541
0.41593845836630644,0.4485015022443115,0.9273959090102065,0.03442136816943792,0.4458961303263661,0.519682501504196
0.3971327581716674,0.43392897499043176,0.9152022129437756,0.0895235341754706,0.367959024905854,0.5425174409186755
0.4228070032816163,0.45008629882044776,0.9393909665539187,0.045993622111523184,0.47287365008264504,0.4811327278058318
0.3849055608188269,0.41555941212286,0.9262347322433637,0.2724789145440315,0.3103785655608056,0.417142519895163
0.3572657935679799,0.40841808724896467,0.8747550726131206,0.31588764077026393,0.19759420779894832,0.48651815143078775
0.44726128681853056,0.45120260011547525,0.9912648701582482,0.34358236234961387,0.5568865488773087,0.09953108877307738
0.43613276350004226,0.46152795952876985,0.9449758232314752,0.013898591783804622,0.5277737669332839,0.45832764128291154
0.3904785331682543,0.4309373636187199,0.9061143593799346,0.5444863993549895,0.31993903547018715,0.13557456517482325
0.3715029398936379,0.41932649882254636,0.8859514982640132,0.16365306167375893,0.2617859283677187,0.5745610099585222
0.4088848041537125,0.42954855517214297,0.9518942602189654,0.43185119835486296,0.3989765673571542,0.16917223428798273
0.3911832075302944,0.4202061644622144,0.9309316250296709,0.42492918678251757,0.32837505257609073,0.2466957606413916
0.3917283202908291,0.42442876037115385,0.9229542313491458,0.47826112055256453,0.3280555666551814,0.19368331279225415
0.3675677350342989,0.425624622170246,0.8635960324853461,0.5723387701688468,0.2268329163897917,0.20082831344136148
0.3955497775557299,0.4219259174987545,0.9374863243780172,0.42072681610514184,0.34606823077252113,0.23320495312233702
0.4207609163901287,0.4434365684760158,0.9488638202216433,0.09204266960021829,0.46251367888786166,0.44544365151191995
0.413948685816015,0.43265815670222224,0.9567569209169352,0.17224449135527073,0.4314535211742475,0.39630198747048173
0.43209583020377484,0.44841690361377967,0.9636029032838108,0.4751021507444652,0.48994773306959627,0.03495011618593856
0.41105233098598515,0.4271965794255227,0.9622088536821908,0.2491423416694357,0.41623853247322595,0.33461912585733833
0.40819336081856145,0.4362803349305399,0.9356217279047193,0.5103871672217607,0.3925192810723452,0.09709355170589413
0.4191796680886846,0.4310079615628378,0.9725566705745673,0.2787443045441215,0.4474133663741782,0.2738423290817002
0.4150751609218801,0.42900742320792906,0.9675244260766641,0.26056726240867273,0.4318208050205718,0.3076119325707556
0.43310013428205296,0.4397659120238667,0.9848424410361029,0.29127769648123036,0.5026012875490512,0.2061210159697185
0.4192730297708428,0.43864634523214463,0.9558338609864653,0.466069675054697,0.43899357254231686,0.09493675240298632
0.4420941149227785,0.4481651604359782,0.9864535531782663,0.3682357482509016,0.535025472074648,0.09673877967445028
0.37920276633060346,0.4129619087791862,0.9182511952533763,0.3162456141227577,0.2854741023095335,0.39828028356770884
0.419126257161305,0.4338992142780746,0.9659530217372047,0.4037550673501546,0.44133080726908713,0.15491412538075813
0.41342970556047964,0.4388008953468838,0.9421806335049805,0.10227717175677992,0.43265865230159506,0.465064175941625
0.36879953332144444,0.4241624758306584,0.8694770384843827,0.5579867712897668,0.2324422111043766,0.20957101760585656
0.3502237260973602,0.40764565133997793,0.8591376479698353,0.3791127360409282,0.16641010535718057,0.4544771586018913
0.3617122408630966,0.4106038334317212,0.880927578878158,0.421146093062061,0.21046886615797727,0.3683850407799617
0.32389383943624606,0.4091662600177312,0.7915946916595961,0.42866404443108563,0.058585795732570244,0.512750159836344
0.43270937981629903,0.4395778416421601,0.9843748679410178,0.30588738307706,0.5003497763056713,0.19376284061726856
0.40464187611395264,0.4245673640713537,0.953068724439092,0.38400197171744316,0.3842223259245514,0.23177570235800538
